protein_len,protein_mean,protein_std,protein_min,protein_max,protein_median,compound_len,compound_mean,compound_std,compound_min,compound_max,compound_median,log10_kcat
1076.0,411.71096654275095,256.7819998674812,0.0,889.0,395.5,38.0,13.947368421052632,3.4331768962737748,8.0,19.0,16.0,0.8450980400142567
455.0,945.5604395604396,277.3448366834537,5.0,1241.0,1019.0,21.0,35.333333333333336,6.68568715229876,11.0,42.0,36.0,0.1702617153949573
71.0,1129.0845070422536,292.17430387437446,172.0,1296.0,1261.0,20.0,37.55,15.24622904196313,11.0,54.0,42.5,2.0293837776852097
255.0,1218.650980392157,358.90023703823,35.0,1479.0,1358.0,48.0,77.66666666666667,24.43130960241159,18.0,101.0,87.0,-0.1611509092627447
688.0,1425.2877906976744,519.3480022191984,14.0,1941.0,1614.5,39.0,81.87179487179488,29.9659460457944,18.0,114.0,89.0,2.6232492903979003
625.0,1689.304,666.3013135091361,20.0,2309.0,2020.0,3.0,116.66666666666667,0.4714045207910317,116.0,117.0,117.0,-1.3979400086720375
541.0,1794.939001848429,833.3245390643234,8.0,2589.0,2325.0,20.0,95.8,45.42312186541123,11.0,134.0,125.5,-1.585026652029182
651.0,2070.0568356374806,936.9237984718833,8.0,2937.0,2631.0,19.0,61.421052631578945,54.48352313891613,16.0,140.0,19.0,0.1072099696478683
396.0,2168.631313131313,1043.0741232991334,2.0,3119.0,2917.0,3.0,116.66666666666667,0.4714045207910317,116.0,117.0,117.0,0.5314789170422551
336.0,2120.5208333333335,1086.613127498323,40.0,3237.0,2393.0,1.0,141.0,0.0,141.0,141.0,141.0,1.3010299956639813
421.0,2329.0475059382425,1090.3305770909046,22.0,3404.0,2700.0,14.0,87.92857142857143,54.452422595607366,11.0,143.0,127.0,0.9661417327390324
444.0,2543.25,1112.757445917998,6.0,3600.0,3178.0,24.0,78.25,51.09733358992424,18.0,150.0,87.5,2.9464031338990546
531.0,2288.828625235405,1258.4236450585176,9.0,3752.0,2484.0,24.0,64.29166666666667,44.273279344192346,11.0,151.0,40.5,-2.1426675035687315
534.0,2569.37265917603,1317.3380809617952,31.0,3950.0,2982.5,84.0,82.30952380952381,72.4424198588875,16.0,173.0,17.0,-1.0457574905606752
412.0,2294.4781553398057,1409.636456269204,10.0,4048.0,2340.0,31.0,127.61290322580645,66.961075558554,11.0,192.0,178.0,0.7075701760979364
472.0,2454.5783898305085,1401.4654550937516,0.0,4165.0,2557.5,17.0,116.58823529411765,82.47142736839184,11.0,199.0,133.0,0.8864907251724818
651.0,2291.7311827956987,1447.433288396358,14.0,4303.0,2167.0,93.0,124.83870967741936,82.5673124317731,16.0,235.0,94.0,1.2787536009528289
467.0,2530.0235546038543,1415.0609998435252,8.0,4399.0,2523.0,42.0,125.80952380952381,96.33701708937227,16.0,253.0,93.0,2.3912880485952974
403.0,2855.2928039702233,1487.3956717999283,4.0,4514.0,3172.0,72.0,117.23611111111111,97.21160953981261,11.0,273.0,92.0,0.0530784434834195
283.0,2539.8409893992934,1569.3266497852603,11.0,4577.0,2583.0,32.0,130.09375,115.18635969999876,11.0,282.0,127.5,2.1072099696478683
581.0,2938.2977624784853,1582.7401061208352,7.0,4749.0,3071.0,45.0,81.73333333333333,65.3793715343167,13.0,284.0,83.0,2.004321373782642
840.0,2854.902380952381,1607.5408644717904,6.0,4934.0,2972.5,45.0,86.93333333333334,66.35105290967297,18.0,285.0,92.0,1.246744709723841
347.0,2891.608069164265,1707.7581515036336,13.0,5017.0,2774.0,3.0,116.66666666666667,0.4714045207910317,116.0,117.0,117.0,-0.1674910872937636
409.0,2904.4963325183376,1662.816207952368,4.0,5098.0,2913.0,1.0,286.0,0.0,286.0,286.0,286.0,-0.8239087409443188
189.0,2567.195767195767,1512.4048542492471,4.0,5115.0,2415.0,16.0,161.75,114.05289343107434,35.0,294.0,188.0,-1.565431095965801
309.0,2647.6796116504856,1751.9825176101215,22.0,5168.0,2385.0,22.0,88.81818181818181,96.9749903858236,8.0,296.0,23.5,-1.0969100130080565
376.0,2837.646276595745,1767.9597042458859,13.0,5232.0,2980.5,45.0,218.93333333333334,117.02561922739633,11.0,325.0,306.0,-1.853871964321762
311.0,2820.9163987138263,1663.4447443327126,22.0,5279.0,2584.0,29.0,107.79310344827586,95.10479857009457,18.0,329.0,92.0,0.8512583487190752
200.0,2458.09,1672.681374888834,40.0,5304.0,2183.0,42.0,92.45238095238095,71.16988474299411,17.0,332.0,85.5,-0.2924298239020636
390.0,2800.625641025641,1737.2681039446857,15.0,5360.0,2769.5,96.0,128.9375,90.4028959367453,16.0,337.0,93.5,-2.1426675035687315
243.0,3024.6008230452676,1809.531367702398,26.0,5413.0,2967.0,12.0,154.83333333333334,155.58429298043623,17.0,340.0,32.0,-1.7569619513137056
276.0,2502.021739130435,1696.0562203022519,2.0,5442.0,2204.0,21.0,131.42857142857142,138.47281714630986,11.0,345.0,39.0,-0.3098039199714863
172.0,2631.3197674418607,1642.1973924153453,35.0,5456.0,2171.0,6.0,245.16666666666666,145.7834200296987,39.0,349.0,347.5,4.230448921378274
353.0,2809.9688385269124,1823.5186394689576,10.0,5504.0,2525.0,4.0,351.5,0.5,351.0,352.0,351.5,2.304921161900892
386.0,2761.70725388601,1780.5121824678126,76.0,5559.0,2443.5,7.0,195.71428571428572,148.46617150594494,11.0,354.0,289.0,1.8325089127062364
453.0,2984.189845474614,1881.0110038566434,6.0,5629.0,2977.0,47.0,106.53191489361703,64.02089122586828,18.0,235.0,89.0,-0.1332992439575008
387.0,2880.1447028423772,1726.5492072650577,8.0,5676.0,2904.0,77.0,126.14285714285714,99.86467652684185,18.0,363.0,89.0,0.5563025007672873
282.0,2829.205673758865,1859.952973620915,4.0,5721.0,2553.0,111.0,121.73873873873873,100.43021975406933,16.0,365.0,93.0,-0.619788758288394
517.0,2931.6382978723404,1854.3814024122912,3.0,5786.0,2843.0,14.0,244.35714285714286,149.3015200108526,39.0,374.0,364.0,0.5831987739686227
401.0,3021.6059850374063,1843.0184350635589,27.0,5830.0,2849.0,13.0,147.92307692307693,138.72133746275523,16.0,376.0,160.0,3.633468455579586
577.0,3017.2547660311957,1921.2023583731898,7.0,5914.0,2770.0,52.0,106.28846153846153,130.040132346557,16.0,382.0,50.0,-2.0222763947111524
317.0,2965.671924290221,1771.538106124591,6.0,5945.0,2842.0,1.0,141.0,0.0,141.0,141.0,141.0,0.724275869600789
143.0,2726.4335664335663,1860.2545075873807,0.0,5963.0,2494.0,16.0,253.8125,118.50117022101512,41.0,389.0,251.0,-0.0043648054024499
