protein_len,protein_mean,protein_std,protein_min,protein_max,protein_median,compound_len,compound_mean,compound_std,compound_min,compound_max,compound_median,log10_kcat
332.0,2849.105421686747,1966.402682557824,22.0,8125.0,2513.0,7.0,195.7142857142857,148.46617150594494,11.0,354.0,289.0,2.431363764158988
174.0,3127.4885057471265,1910.2981856018864,182.0,7321.0,2939.0,43.0,387.2093023255814,428.9396096779546,11.0,1465.0,217.0,0.5314789170422551
265.0,2792.6490566037737,1951.6366410593764,34.0,8025.0,2486.0,45.0,328.22222222222223,188.06475112918943,11.0,540.0,322.0,1.2041199826559248
685.0,2706.778102189781,1867.192307397703,0.0,8304.0,2318.0,42.0,108.4047619047619,67.46112091024816,18.0,235.0,88.5,1.977723605288848
352.0,2708.954545454545,2004.2821340654325,4.0,8228.0,2410.0,13.0,233.6153846153846,260.0057805456636,11.0,723.0,39.0,1.0128372247051722
353.0,2809.9688385269124,1823.5186394689576,10.0,5504.0,2525.0,4.0,351.5,0.5,351.0,352.0,351.5,2.2355284469075487
272.0,2864.279411764706,1969.4885876615444,6.0,8418.0,2468.5,1.0,141.0,0.0,141.0,141.0,141.0,2.82020145948564
630.0,2730.253968253968,1942.883648602783,3.0,8203.0,2445.0,59.0,116.69491525423727,129.60438555005143,11.0,762.0,88.0,1.1139433523068367
531.0,2821.261770244821,1976.9503176850403,12.0,8156.0,2524.0,13.0,1215.7692307692307,1002.8362972356229,41.0,2465.0,585.0,0.2041199826559247
315.0,2944.688888888889,2040.7583398390352,2.0,8207.0,2400.0,18.0,201.77777777777777,329.1537222021136,11.0,1369.0,41.0,-0.4559319556497244
643.0,3050.234836702955,2077.4990750296565,6.0,8344.0,2790.0,15.0,204.8,326.6090833601131,11.0,978.0,39.0,2.1283992687178066
432.0,2778.902777777778,1980.0424786856695,32.0,8150.0,2553.0,15.0,204.8,326.6090833601131,11.0,978.0,39.0,0.4623979978989561
497.0,2917.118712273642,2049.25625022015,8.0,8287.0,2711.0,27.0,478.2592592592592,487.929608811565,17.0,1580.0,199.0,2.1789769472931693
485.0,2943.7092783505154,2000.8941403387005,17.0,8483.0,2604.0,17.0,171.76470588235293,201.71427941281485,18.0,836.0,88.0,-1.0087739243075051
284.0,2891.774647887324,1923.606601586491,24.0,7540.0,2730.5,17.0,171.76470588235293,201.71427941281485,18.0,836.0,88.0,1.100370545117563
399.0,3188.7944862155387,2219.702733121768,14.0,8169.0,2895.0,51.0,311.0,419.5096577448206,11.0,1309.0,133.0,0.6020599913279624
143.0,2862.426573426573,1884.4672541652524,106.0,8150.0,2677.0,20.0,81.75,53.36653914205043,18.0,150.0,87.5,2.6989700043360187
196.0,2962.066326530612,2022.5372453594264,5.0,8174.0,2461.5,47.0,106.53191489361704,64.02089122586828,18.0,235.0,89.0,2.113943352306837
466.0,3292.489270386266,2171.908040741717,33.0,8360.0,3084.5,19.0,116.52631578947368,129.69696194999392,11.0,431.0,39.0,1.7727616471440324
381.0,2995.57217847769,2101.8635159165124,7.0,7976.0,2565.0,73.0,155.1095890410959,138.99675384440877,17.0,424.0,92.0,3.544068044350276
368.0,3128.605978260869,2200.0399526182323,53.0,7720.0,2847.0,16.0,733.4375,952.506690839361,35.0,2920.0,278.0,-0.5228787452803376
532.0,3294.9548872180453,2164.7000725227213,2.0,8198.0,3139.0,1.0,141.0,0.0,141.0,141.0,141.0,3.870871895067743
230.0,2806.3826086956524,1893.210976472689,33.0,7826.0,2597.5,35.0,267.65714285714284,284.45435916677314,19.0,1044.0,224.0,-0.6020599913279624
461.0,3049.8546637744034,2074.8802109857543,3.0,8337.0,2824.0,21.0,401.4761904761905,705.7328254103518,11.0,2841.0,39.0,-0.5228787452803376
637.0,2981.85557299843,2059.89505864018,1.0,8261.0,2792.0,49.0,565.8367346938776,667.3420732519379,11.0,1999.0,243.0,0.3617278360175928
348.0,2840.1063218390805,2019.5872765075785,27.0,8019.0,2554.0,128.0,228.4140625,375.4035438561364,11.0,3726.0,160.0,-0.9208187539523752
378.0,3006.1084656084654,1990.5185138158545,21.0,8153.0,2926.5,146.0,175.65068493150685,172.76587976756184,11.0,876.0,133.0,1.5622928644564746
136.0,2971.1470588235293,2095.477253407961,38.0,8032.0,2492.5,10.0,845.2,738.3710178494279,11.0,1897.0,732.0,0.0791812460476248
353.0,2564.702549575071,1922.0525500120084,9.0,7916.0,2224.0,20.0,300.3,419.33078828056495,36.0,1466.0,100.0,0.0
198.0,2902.9141414141413,1905.2769033625768,78.0,8422.0,2579.0,78.0,175.16666666666666,173.99369401089098,17.0,754.0,92.5,0.7781512503836436
555.0,3077.861261261261,2151.700630704696,2.0,8218.0,2696.0,65.0,108.26153846153846,134.02023692459824,16.0,382.0,46.0,-0.8860566476931633
323.0,3046.876160990712,1963.6397627342023,59.0,7274.0,2961.0,78.0,158.80769230769232,136.9414115497524,17.0,424.0,92.0,-2.0457574905606752
340.0,2831.95294117647,2049.86915023364,4.0,8382.0,2449.5,78.0,162.3846153846154,196.08640368988253,11.0,1105.0,41.5,0.8388490907372552
520.0,3179.5423076923075,2032.2379635558805,3.0,8103.0,2975.5,21.0,324.6190476190476,243.14026447426755,36.0,636.0,324.0,-0.2924298239020636
1019.0,3386.906771344455,2222.6192136606624,2.0,8337.0,2967.0,87.0,335.4942528735632,295.93832355117667,16.0,958.0,234.0,1.4313637641589874
623.0,3144.4157303370785,2047.9598427159049,2.0,8300.0,3017.0,106.0,209.54716981132077,202.75704078115183,11.0,888.0,189.5,1.591064607026499
403.0,2858.136476426799,1962.0805938616356,18.0,7853.0,2775.0,35.0,157.57142857142858,301.7020560291973,11.0,1276.0,39.0,1.6334684555795866
413.0,3158.997578692494,2235.194798969518,25.0,8421.0,2755.0,10.0,344.2,429.1467814163355,11.0,1426.0,165.5,2.246498580795801
311.0,2815.8585209003218,1940.1857767107945,29.0,7910.0,2487.0,1.0,141.0,0.0,141.0,141.0,141.0,4.061452479087193
274.0,2800.5109489051097,2012.5560031806608,5.0,8045.0,2340.0,78.0,158.80769230769232,136.9414115497524,17.0,424.0,92.0,1.0492180226701815
635.0,3213.36062992126,2178.429318010595,6.0,8273.0,2947.0,16.0,178.5625,339.02285482508404,11.0,1064.0,29.5,1.2787536009528289
307.0,2687.4201954397395,1904.3760584427632,2.0,7671.0,2430.0,42.0,202.33333333333331,169.70375682160096,11.0,502.0,133.5,1.3424226808222062
266.0,2777.7631578947367,1970.9175929478968,3.0,7522.0,2525.5,42.0,202.33333333333331,169.70375682160096,11.0,502.0,133.5,2.8169038393756605
714.0,2711.8165266106444,1953.388988903072,3.0,8144.0,2403.0,84.0,153.91666666666666,185.58031301666963,16.0,1368.0,96.0,2.3560258571931225
335.0,2810.7223880597016,1861.1986790591727,8.0,7765.0,2600.0,17.0,171.76470588235293,201.71427941281485,18.0,836.0,88.0,1.880813592280792
509.0,2659.2573673870334,1944.2161259415236,21.0,8068.0,2519.0,1.0,2357.0,0.0,2357.0,2357.0,2357.0,1.0253058652647702
285.0,2861.8,2080.4617905057485,7.0,8114.0,2407.0,41.0,232.53658536585365,260.4077569524825,17.0,1004.0,100.0,0.6334684555795865
641.0,3125.492979719189,2047.9613401836357,3.0,8294.0,3011.0,22.0,127.04545454545456,228.49676291176868,11.0,907.0,39.0,1.557507201905658
1023.0,2879.5806451612902,2007.183376193228,3.0,8089.0,2608.0,46.0,103.67391304347828,143.2962960090228,11.0,907.0,61.0,-1.0
1061.0,2942.226201696513,2006.440201101264,4.0,8234.0,2569.0,1.0,141.0,0.0,141.0,141.0,141.0,5.835056101720117
393.0,2737.5826972010177,2001.3019716133704,2.0,8065.0,2376.0,92.0,185.25,235.06810414634415,11.0,1706.0,98.0,0.4313637641589872
671.0,3103.0938897168407,2063.3154953161056,7.0,8321.0,2944.0,17.0,479.4117647058824,609.3969110158906,35.0,1740.0,132.0,1.568201724066995
527.0,2673.9146110056927,1926.265159134888,27.0,8064.0,2335.0,47.0,106.53191489361704,64.02089122586828,18.0,235.0,89.0,3.2681097298084785
567.0,3209.509700176367,2083.9207204521704,7.0,8308.0,3024.0,108.0,102.08333333333331,92.88723998403576,18.0,450.0,92.0,0.9095560292411752
390.0,2643.4153846153845,1841.80073722994,35.0,8258.0,2365.0,35.0,144.17142857142858,179.55142291106398,11.0,782.0,123.0,2.0170333392987803
318.0,2648.5,1999.2355909480025,49.0,7284.0,2309.0,25.0,159.2,220.0132723269212,8.0,725.0,18.0,0.4183012913197454
477.0,3046.825995807128,2020.8369244901771,1.0,8072.0,2861.0,148.0,310.7837837837838,700.7652915142761,16.0,4787.0,185.5,-0.619788758288394
303.0,2685.953795379538,1894.177527613491,9.0,7819.0,2334.0,13.0,168.23076923076923,270.5931245491179,11.0,751.0,30.0,-0.2967086218813386
255.0,1218.650980392157,358.90023703823,35.0,1479.0,1358.0,44.0,100.6590909090909,76.7051447788034,18.0,329.0,88.0,-0.744727494896694
365.0,2469.3397260273973,1920.491656424064,8.0,8203.0,2073.0,30.0,1026.9333333333334,1560.4372449911457,16.0,4755.0,41.0,0.3802112417116059
375.0,2530.2026666666666,1932.5202933629328,2.0,8133.0,2072.0,36.0,180.91666666666663,210.6556398749179,11.0,876.0,132.0,3.0
326.0,3039.8865030674847,2021.4076829924184,51.0,7730.0,2765.0,78.0,158.80769230769232,136.9414115497524,17.0,424.0,92.0,-1.3467874862246565
249.0,3102.546184738956,2083.3218258819943,6.0,8103.0,3061.0,71.0,642.0,631.5618466921376,11.0,1954.0,313.0,1.880813592280792
348.0,2837.155172413793,1818.540748219026,0.0,8426.0,2684.5,20.0,128.15,99.47827652306808,11.0,282.0,131.5,0.3424226808222063
273.0,2890.5531135531137,1938.8178505046212,4.0,8191.0,2696.0,78.0,158.80769230769232,136.9414115497524,17.0,424.0,92.0,0.9527924430440922
479.0,3232.837160751566,1918.9898043239432,71.0,8004.0,3004.0,69.0,309.9710144927536,507.3915667986522,17.0,2159.0,132.0,-0.1674910872937636
