,protein_len,protein_mean,protein_std,protein_min,protein_max,protein_median,compound_len,compound_mean,compound_std,compound_min,compound_max,compound_median,log10_kcat
protein_len,1.0,0.057622206973967166,0.04156447991201449,-0.21187735066741378,0.06647331388979165,0.060341392391222465,0.11790185300403645,-0.03533822867459879,-0.039472685151740405,-0.014577388042987634,-0.030764373347157443,-0.012399850608996217,0.027283621234658863
protein_mean,0.057622206973967166,1.0,0.71026635871031,0.2271232337882777,0.3879377320333979,0.894253646550321,0.12497918243958851,-0.024474390669566363,-0.05027962707187233,-0.00021114402939231608,-0.020372043184043037,0.0070863220909304445,-0.0007293659790102826
protein_std,0.04156447991201449,0.71026635871031,1.0,0.09446618735575017,0.6467406005209224,0.4441077934234662,0.09714658142959776,0.020589405095474602,0.014597148266961037,0.0014892651439405915,0.03612012456822455,0.026370145239190314,-0.006657634375576927
protein_min,-0.21187735066741378,0.2271232337882777,0.09446618735575017,1.0,0.00025860338018318885,0.18884840922820836,-0.0112050509168815,0.0075376080734564,0.00801610044260975,-0.00012044792598477678,0.00891549326375938,0.005789296821459591,-0.010651269717284481
protein_max,0.06647331388979165,0.3879377320333979,0.6467406005209224,0.00025860338018318885,1.0,0.18781137124271038,0.0016482231853867312,0.0249066041040691,0.02263400382671407,0.012985800855651543,0.03552078467520254,0.022128674669129374,0.030506434272596406
protein_median,0.060341392391222465,0.894253646550321,0.4441077934234662,0.18884840922820836,0.18781137124271038,1.0,0.11357016833960794,-0.029484132574603618,-0.05431767219552073,-0.00023718339737372696,-0.02634926924332957,0.0014685065930545459,0.007960971893942242
compound_len,0.11790185300403645,0.12497918243958851,0.09714658142959776,-0.0112050509168815,0.0016482231853867312,0.11357016833960794,1.0,-0.15862174110125832,-0.0595218874233428,-0.16128263230848283,0.03620368594205852,-0.11708416239675323,-0.13641980711590146
compound_mean,-0.03533822867459879,-0.024474390669566363,0.020589405095474602,0.0075376080734564,0.0249066041040691,-0.029484132574603618,-0.15862174110125832,1.0,0.4992333145324002,0.7388651083939829,0.5768625710780307,0.874982152392795,-0.016807663323123084
compound_std,-0.039472685151740405,-0.05027962707187233,0.014597148266961037,0.00801610044260975,0.02263400382671407,-0.05431767219552073,-0.0595218874233428,0.4992333145324002,1.0,-0.12821625974640988,0.8854725369910765,0.1182331590837338,-0.07130777016331034
compound_min,-0.014577388042987634,-0.00021114402939231608,0.0014892651439405915,-0.00012044792598477678,0.012985800855651543,-0.00023718339737372696,-0.16128263230848283,0.7388651083939829,-0.12821625974640988,1.0,0.11895042763958465,0.8084463384366697,0.030766418019352496
compound_max,-0.030764373347157443,-0.020372043184043037,0.03612012456822455,0.00891549326375938,0.03552078467520254,-0.02634926924332957,0.03620368594205852,0.5768625710780307,0.8854725369910765,0.11895042763958465,1.0,0.25625384205133667,-0.08106260404919925
compound_median,-0.012399850608996217,0.0070863220909304445,0.026370145239190314,0.005789296821459591,0.022128674669129374,0.0014685065930545459,-0.11708416239675323,0.874982152392795,0.1182331590837338,0.8084463384366697,0.25625384205133667,1.0,0.018574543655545013
log10_kcat,0.027283621234658863,-0.0007293659790102826,-0.006657634375576927,-0.010651269717284481,0.030506434272596406,0.007960971893942242,-0.13641980711590146,-0.016807663323123084,-0.07130777016331034,0.030766418019352496,-0.08106260404919925,0.018574543655545013,1.0
